epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,286.994,0.42427,0.80524,0.33131,0.9867,0,0.9986,1,0.995,0.9392,0.9986,1,0.995,0.91717,0.3889,0.64271,0.42309,0.65028,0,0.0014324,0.0014324,0.0014324
45,293.416,0.41795,0.78892,0.31492,0.99068,0,0.99905,1,0.995,0.88285,0.99905,1,0.995,0.89354,0.50248,0.75669,0.58923,0.75231,0,0.0014192,0.0014192,0.0014192
46,299.562,0.41271,0.76838,0.31471,0.98062,0,0.99955,1,0.995,0.90953,0.99955,1,0.995,0.92373,0.43423,0.63704,0.27559,0.66121,0,0.001406,0.001406,0.001406
47,305.638,0.41058,0.82432,0.30908,0.97871,0,0.99186,1,0.9947,0.90181,0.99186,1,0.9947,0.91481,0.50483,0.68219,0.45553,0.69433,0,0.0013928,0.0013928,0.0013928
48,312.023,0.40377,0.7683,0.30278,0.97879,0,0.99939,1,0.995,0.88391,0.99939,1,0.995,0.91569,0.60498,0.66971,0.42419,0.81892,0,0.0013796,0.0013796,0.0013796
49,318.369,0.41453,0.73477,0.30208,0.98377,0,0.99942,1,0.995,0.93359,0.99942,1,0.995,0.93366,0.39994,0.60149,0.33994,0.67829,0,0.0013664,0.0013664,0.0013664
50,324.834,0.43135,0.80801,0.30644,0.98808,0,0.99943,1,0.995,0.91139,0.99943,1,0.995,0.87242,0.44585,0.82666,0.44242,0.71547,0,0.0013532,0.0013532,0.0013532
51,330.933,0.41701,0.77251,0.31221,0.9862,0,0.99932,1,0.995,0.93137,0.99932,1,0.995,0.93903,0.41722,0.54856,0.50893,0.6381,0,0.00134,0.00134,0.00134
52,337.15,0.41144,0.78757,0.30798,0.97247,0,0.99935,1,0.995,0.89764,0.99935,1,0.995,0.90296,0.47058,0.64954,0.48145,0.75396,0,0.0013268,0.0013268,0.0013268
53,343.404,0.38621,0.72153,0.29326,0.96472,0,0.99879,1,0.995,0.91508,0.99879,1,0.995,0.90784,0.48704,0.65349,0.4204,0.70917,0,0.0013136,0.0013136,0.0013136
54,349.838,0.39931,0.77255,0.29684,0.97438,0,0.99936,1,0.995,0.93999,0.99936,1,0.995,0.92191,0.45414,0.59597,0.38772,0.7026,0,0.0013004,0.0013004,0.0013004
55,356.151,0.39431,0.74046,0.29631,0.9704,0,0.99894,1,0.995,0.91136,0.99894,1,0.995,0.89455,0.47169,0.88458,0.4197,0.70025,0,0.0012872,0.0012872,0.0012872
56,362.501,0.39429,0.72128,0.30306,0.9783,0,0.99931,1,0.995,0.86446,0.99931,1,0.995,0.90649,0.53398,0.65565,0.40187,0.75119,0,0.001274,0.001274,0.001274
57,368.717,0.38701,0.76856,0.28961,0.96565,0,0.99921,1,0.995,0.93404,0.99921,1,0.995,0.91323,0.4262,0.7467,0.54713,0.71037,0,0.0012608,0.0012608,0.0012608
58,375.622,0.40968,0.77414,0.30325,0.97722,0,0.9988,1,0.995,0.93239,0.9988,1,0.995,0.91862,0.41136,0.63299,0.64022,0.71156,0,0.0012476,0.0012476,0.0012476
59,382.419,0.40472,0.78848,0.30179,0.97922,0,0.99929,1,0.995,0.939,0.99929,1,0.995,0.93493,0.41885,0.57088,0.51506,0.64184,0,0.0012344,0.0012344,0.0012344
60,389.207,0.40246,0.74841,0.30757,0.97476,0,0.99937,1,0.995,0.93504,0.99937,1,0.995,0.93456,0.43891,0.56576,0.41354,0.67867,0,0.0012212,0.0012212,0.0012212
61,396.008,0.38909,0.73619,0.29022,0.96734,0,0.99906,1,0.995,0.95358,0.99906,1,0.995,0.94087,0.41045,0.52225,0.4706,0.63889,0,0.001208,0.001208,0.001208
62,402.884,0.38525,0.73522,0.29181,0.96848,0,0.99841,1,0.995,0.91063,0.99841,1,0.995,0.92854,0.43898,0.55819,0.43006,0.62075,0,0.0011948,0.0011948,0.0011948
63,409.737,0.41435,0.75783,0.31354,0.97916,0,0.99946,1,0.995,0.93018,0.99946,1,0.995,0.92045,0.45182,0.62779,0.33066,0.6886,0,0.0011816,0.0011816,0.0011816
64,416.602,0.41012,0.72567,0.29126,0.97511,0,0.99898,1,0.995,0.91135,0.99898,1,0.995,0.9185,0.43855,0.58236,0.82356,0.68368,0,0.0011684,0.0011684,0.0011684
65,423.451,0.38822,0.67776,0.29197,0.96443,0,0.99906,1,0.995,0.92728,0.99906,1,0.995,0.9472,0.46976,0.52875,0.5285,0.66613,0,0.0011552,0.0011552,0.0011552
66,430.019,0.37782,0.69258,0.27903,0.96217,0,0.99936,1,0.995,0.95404,0.99936,1,0.995,0.93662,0.35371,0.56391,0.32824,0.60204,0,0.001142,0.001142,0.001142
67,436.289,0.37416,0.67111,0.27335,0.96286,0,0.99944,1,0.995,0.93576,0.99944,1,0.995,0.93016,0.4469,0.63756,0.35015,0.71475,0,0.0011288,0.0011288,0.0011288
68,442.785,0.37885,0.71382,0.28205,0.96577,0,0.99944,1,0.995,0.94543,0.99944,1,0.995,0.937,0.3425,0.53359,0.41394,0.64009,0,0.0011156,0.0011156,0.0011156
69,449.265,0.38712,0.70539,0.28769,0.97656,0,0.99928,1,0.995,0.92272,0.99928,1,0.995,0.91014,0.40508,0.70292,0.45135,0.65543,0,0.0011024,0.0011024,0.0011024
70,455.587,0.37738,0.72014,0.27617,0.96497,0,0.99884,1,0.995,0.92698,0.99884,1,0.995,0.92777,0.42435,0.59323,0.59701,0.68368,0,0.0010892,0.0010892,0.0010892
71,462.417,0.37854,0.68102,0.27174,0.9699,0,0.99926,1,0.995,0.91498,0.99926,1,0.995,0.92826,0.39822,0.52214,0.41023,0.67574,0,0.001076,0.001076,0.001076
72,469.231,0.3699,0.68677,0.27092,0.96051,0,0.99941,1,0.995,0.94828,0.99941,1,0.995,0.92441,0.36119,0.5501,0.32569,0.63055,0,0.0010628,0.0010628,0.0010628
73,476.087,0.36967,0.69748,0.27276,0.95942,0,0.99914,1,0.995,0.92993,0.99914,1,0.995,0.9144,0.4026,0.63572,0.58753,0.6646,0,0.0010496,0.0010496,0.0010496
74,482.924,0.38071,0.6861,0.27416,0.95989,0,0.99927,1,0.995,0.94291,0.99927,1,0.995,0.93459,0.37344,0.60787,0.42487,0.62043,0,0.0010364,0.0010364,0.0010364
75,489.662,0.37005,0.65165,0.28012,0.9443,0,0.99938,1,0.995,0.95464,0.99938,1,0.995,0.92937,0.34026,0.51797,0.27459,0.6027,0,0.0010232,0.0010232,0.0010232
76,496.187,0.3876,0.6946,0.28325,0.96133,0,0.99922,1,0.995,0.9467,0.99922,1,0.995,0.92937,0.34519,0.55973,0.47513,0.61899,0,0.00101,0.00101,0.00101
