epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,741.182,0.77241,1.00555,0.38309,0.01485,0.4603,0.94092,0.93893,0.98457,0.81885,0.94092,0.93893,0.98457,0.87959,0.69687,0.82226,0.45075,0.02736,0,0.00851333,0.00851333,0.00851333
40,759.894,0.8028,1.00032,0.40486,0.01519,0.45702,0.87411,0.92366,0.96582,0.82388,0.86661,0.91603,0.96265,0.79016,0.65262,1.05797,0.51352,0.0261,0,0.00843851,0.00843851,0.00843851
41,778.604,0.77532,0.99568,0.38193,0.01444,0.48416,0.96897,0.95361,0.99094,0.76231,0.96897,0.95361,0.99094,0.8738,0.95473,0.73627,0.72604,0.04027,0,0.0083622,0.0083622,0.0083622
42,797.364,0.80549,1.00354,0.38958,0.01465,0.51511,0.99023,0.9313,0.98965,0.80326,0.99023,0.9313,0.98965,0.83943,0.79704,0.70806,0.50746,0.03371,0,0.00828443,0.00828443,0.00828443
43,816.44,0.74849,0.98364,0.3648,0.01393,0.47745,0.97573,0.81679,0.94603,0.72342,0.97573,0.81679,0.94603,0.80228,0.95512,0.74399,1.09197,0.04074,0,0.00820525,0.00820525,0.00820525
44,835.807,0.76695,0.94575,0.37376,0.01454,0.45681,0.99152,0.89222,0.96301,0.73672,0.99152,0.89222,0.96301,0.85199,0.93826,0.88644,1.42359,0.03918,0,0.00812468,0.00812468,0.00812468
45,854.957,0.82155,0.99408,0.41501,0.01549,0.4873,0.97249,0.9084,0.97107,0.74712,0.97249,0.9084,0.97107,0.86911,0.91547,0.70566,0.9567,0.03547,0,0.00804277,0.00804277,0.00804277
46,874.287,0.76269,0.95547,0.40184,0.01452,0.46286,0.96265,0.90076,0.9606,0.77338,0.95449,0.89313,0.93286,0.66992,0.70661,1.80433,0.61139,0.0271,0,0.00795954,0.00795954,0.00795954
47,893.775,0.74305,0.95254,0.37869,0.0145,0.46167,0.97642,0.96947,0.98552,0.78478,0.97642,0.96947,0.98552,0.9082,0.87664,0.68152,0.58363,0.03363,0,0.00787503,0.00787503,0.00787503
48,913.152,0.71256,0.94555,0.35201,0.01326,0.43322,0.9923,0.98391,0.99469,0.81819,0.9923,0.98391,0.99469,0.89383,0.73879,0.85703,0.57159,0.02991,0,0.00778929,0.00778929,0.00778929
49,932.492,0.69352,0.92921,0.35104,0.01329,0.43295,0.99916,0.99237,0.995,0.8367,0.99916,0.99237,0.995,0.86799,0.68836,0.74177,0.57443,0.02674,0,0.00770234,0.00770234,0.00770234
50,951.95,0.74048,0.92598,0.35941,0.01421,0.4467,0.9888,1,0.99477,0.84068,0.9888,1,0.99477,0.90111,0.6625,0.71285,0.45867,0.02503,0,0.00761423,0.00761423,0.00761423
51,971.546,0.70634,0.95044,0.34452,0.01351,0.43698,0.98147,0.99237,0.99455,0.80553,0.98147,0.99237,0.99455,0.90248,0.81041,0.73236,0.58438,0.03147,0,0.007525,0.007525,0.007525
52,991.05,0.69379,0.90621,0.32458,0.01321,0.40921,0.98469,0.98211,0.99432,0.87047,0.98469,0.98211,0.99432,0.91111,0.54332,0.67588,0.21278,0.02235,0,0.00743468,0.00743468,0.00743468
53,1010.62,0.6957,0.90425,0.34667,0.01321,0.42025,0.99681,0.94656,0.98908,0.82987,0.99681,0.94656,0.98908,0.85268,0.71744,0.78055,0.59086,0.02992,0,0.00734332,0.00734332,0.00734332
54,1030.04,0.68912,0.87837,0.32329,0.01292,0.45481,1,0.95277,0.99388,0.82092,1,0.95277,0.99388,0.8907,0.73248,0.61727,0.55062,0.03129,0,0.00725094,0.00725094,0.00725094
55,1049.54,0.75969,0.87636,0.34,0.0141,0.42732,0.98214,0.9542,0.98801,0.78095,0.98214,0.9542,0.98801,0.87355,0.85572,0.75568,0.61571,0.0336,0,0.00715761,0.00715761,0.00715761
56,1069.06,0.75194,0.88416,0.36537,0.01438,0.41872,0.96679,0.99237,0.99379,0.81886,0.96679,0.99237,0.99379,0.87103,0.74209,0.71326,0.6677,0.03081,0,0.00706335,0.00706335,0.00706335
57,1088.56,0.68748,0.90259,0.36536,0.01285,0.43802,0.94871,0.98847,0.99228,0.84492,0.94871,0.98847,0.99228,0.88515,0.59512,0.61441,0.29682,0.02221,0,0.0069682,0.0069682,0.0069682
58,1108.12,0.70259,0.84758,0.35662,0.01285,0.41188,0.94792,0.97265,0.99001,0.86617,0.94792,0.97265,0.99001,0.90534,0.51787,0.59265,0.46353,0.01973,0,0.00687222,0.00687222,0.00687222
59,1127.69,0.67448,0.88303,0.33817,0.01221,0.4129,0.99085,0.9313,0.98089,0.88023,0.99085,0.9313,0.98089,0.90584,0.45366,0.57943,0.45499,0.01793,0,0.00677543,0.00677543,0.00677543
60,1147.47,0.64885,0.85885,0.32094,0.01156,0.3891,0.96226,0.9542,0.98966,0.8295,0.96226,0.9542,0.98966,0.90514,0.675,0.6,0.76793,0.02596,0,0.00667789,0.00667789,0.00667789
61,1166.95,0.65454,0.83109,0.32129,0.012,0.40009,0.96327,0.99237,0.99364,0.84732,0.96327,0.99237,0.99364,0.89333,0.63446,0.59574,0.28156,0.02682,0,0.00657963,0.00657963,0.00657963
62,1186.4,0.63566,0.86582,0.33079,0.01122,0.42857,1,0.97544,0.99455,0.86427,1,0.97544,0.99455,0.918,0.52934,0.6354,0.34233,0.01962,0,0.00648071,0.00648071,0.00648071
63,1205.73,0.62279,0.88722,0.321,0.01093,0.42347,1,0.98974,0.995,0.87436,0.99238,0.99378,0.995,0.86912,0.54635,0.8712,0.2684,0.02068,0,0.00638115,0.00638115,0.00638115
64,1225.22,0.66371,0.91806,0.32647,0.0117,0.44516,0.97144,0.96947,0.99103,0.77661,0.97144,0.96947,0.99103,0.87943,0.87601,0.69103,0.31894,0.03544,0,0.00628101,0.00628101,0.00628101
65,1244.78,0.66776,0.84864,0.32958,0.01198,0.43967,1,0.98153,0.99384,0.80711,1,0.98153,0.99384,0.88492,0.78126,0.60439,0.35992,0.0326,0,0.00618034,0.00618034,0.00618034
