epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
96,1636.54,0.52683,0.79333,0.26532,0.00926,0.35048,1,0.9754,0.99398,0.91728,1,0.9754,0.99398,0.92614,0.44184,0.53222,0.18424,0.01704,0,0.00303665,0.00303665,0.00303665
97,1653.82,0.50481,0.69483,0.2574,0.00872,0.33077,0.98484,0.99193,0.99423,0.87051,0.98484,0.99193,0.99423,0.92221,0.59585,0.53548,0.2384,0.02423,0,0.00294239,0.00294239,0.00294239
98,1671.32,0.50575,0.70053,0.2606,0.00872,0.31815,1,0.99679,0.995,0.87699,1,0.99679,0.995,0.93435,0.54985,0.51222,0.16709,0.02125,0,0.00284906,0.00284906,0.00284906
99,1688.36,0.5031,0.70468,0.24813,0.00865,0.32144,0.99195,1,0.995,0.87318,0.99195,1,0.995,0.93771,0.56308,0.52771,0.17815,0.022,0,0.00275668,0.00275668,0.00275668
100,1705.44,0.52006,0.70583,0.25601,0.00919,0.33906,0.99895,0.99237,0.995,0.87976,0.99895,0.99237,0.995,0.94363,0.53669,0.48586,0.21807,0.02201,0,0.00266532,0.00266532,0.00266532
101,1722.75,0.49485,0.69204,0.25198,0.0085,0.30604,1,0.97621,0.99449,0.91432,1,0.97621,0.99449,0.93097,0.43193,0.49761,0.17101,0.01679,0,0.002575,0.002575,0.002575
102,1739.82,0.48216,0.69194,0.23933,0.00845,0.31626,0.99893,1,0.995,0.93721,0.99893,1,0.995,0.93535,0.39441,0.54655,0.14962,0.01476,0,0.00248577,0.00248577,0.00248577
103,1756.93,0.47858,0.67304,0.22471,0.00825,0.31522,0.99762,1,0.995,0.88437,0.99762,1,0.995,0.9312,0.50075,0.52173,0.18924,0.01982,0,0.00239766,0.00239766,0.00239766
104,1774.15,0.48275,0.64976,0.22308,0.00841,0.293,0.99113,0.99237,0.99454,0.87589,0.99113,0.99237,0.99454,0.92793,0.53555,0.50985,0.24765,0.02082,0,0.00231071,0.00231071,0.00231071
105,1791.25,0.47525,0.69371,0.2316,0.00823,0.29994,1,0.99132,0.995,0.92252,1,0.99132,0.995,0.94155,0.40542,0.49911,0.23638,0.01566,0,0.00222497,0.00222497,0.00222497
106,1808.26,0.48969,0.68133,0.24635,0.00852,0.31105,0.99966,0.99237,0.995,0.88025,0.99966,0.99237,0.995,0.93983,0.54437,0.48032,0.19237,0.02073,0,0.00214046,0.00214046,0.00214046
